5 trials/test,,,,,,,,,,,,,,Manually Scaled Speed,Manually Scaled Speed,Manually Scaled Speed,Theoretical Speed,Jetstream Calc Speed,Jetstream Speed,No Autoscaler,,Autoscaler Speed
Stan. Deviation,Nodes=Actor,Workers/Node,Msg/Worker,# of Flop,Entire Run Time,Worker Start T,Worker Ready T,Msg Send Time,Post-Msg Time,Exec Init Time,Exec Run Time,Script Time,Calc Time,GFlop/s Clock,GFlop/s Script,GFlop/s Calc,Theory GFlops,JS GFlops Calc,JS GFlops Script,Percentage Of JS,,GFlop/s Calc
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Manual,Autoscaler,,0.8115253426,,
,,,,,,,,,,,,,,,,,18348.30612,18815.59305,,,,
,,,,,,,,,,,,,,,,,,1.025467578,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Clock Percent,0.4344018981,,,,
,,,,,,,,,,,,,,,,,JetStream Percent,0.581951972,,0.7161033447,,
,,,,,,,,,,,,,,,,,,0.4344018981,,0.2838966553,,
,,,,,,,,,,,,,,,,,,0.4344018981,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,compared to theory,compared to JS,compared to eachother,,,
,,,,,,,,,,,,,,,,js,0.581951972,,,,,
,,,,,,,,,,,,,,,,not-scaled,0.4339050417,0.7456028377,,,,
,,,,,,,,,,,,,,,,scaled,0.2113711986,0.3632107266,0.4871369961,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Dot Product TIme,Matrix Init Time,,,,Dot Product TIme,Matrix Init Time,,,,,,,,,
,,,,,1,961.2236657,768.0367517,193.186914,,1,195.9769137,141.3957496,54.58116412,,,,,,,,,
,,,,,1,1061.120115,873.9726768,187.147438,,1,195.0816796,141.0750375,54.0066421,,,,,,,,,
,,,,,1,1066.389558,882.0865808,184.3029768,,1,202.2848098,148.4468555,53.83795428,,,,,,,,,
,,,,,1,1056.260625,871.1841362,185.076489,,1,202.1514986,147.544874,54.6066246,,,,,,,,,
,,,,,1,1059.930301,875.3422825,184.5880182,,1,196.011893,142.1959493,53.81594372,,,,,,,,,
